cell_id,group,dataset,method,seed,variant,status,run_id,n_attempts,attempt_run_ids
G/core50_nc/tight/O11/1/initial_batch32,G,core50_nc,O11,1,initial_batch32,cuda_oom,effectiveness_v3_20260918T212658Z_b3ae2918,1,effectiveness_v3_20260918T212658Z_b3ae2918
G/core50_nc/tight/O11/2/initial_batch32,G,core50_nc,O11,2,initial_batch32,cuda_oom,effectiveness_v3_20260918T212731Z_9b5ab473,1,effectiveness_v3_20260918T212731Z_9b5ab473
G/core50_nc/tight/O11/0/initial_replay1000,G,core50_nc,O11,0,initial_replay1000,cuda_oom,effectiveness_v3_20260918T212803Z_193f70dc,1,effectiveness_v3_20260918T212803Z_193f70dc
G/core50_nc/tight/O11/1/initial_replay1000,G,core50_nc,O11,1,initial_replay1000,cuda_oom,effectiveness_v3_20260918T212932Z_761cbed7,1,effectiveness_v3_20260918T212932Z_761cbed7
G/core50_nc/tight/O11/2/initial_replay1000,G,core50_nc,O11,2,initial_replay1000,cuda_oom,effectiveness_v3_20260918T213102Z_e6e61120,1,effectiveness_v3_20260918T213102Z_e6e61120
G/core50_nc/tight/O11/0/quota_mid,G,core50_nc,O11,0,quota_mid,completed,effectiveness_v3_20260918T213230Z_86788851,1,effectiveness_v3_20260918T213230Z_86788851
G/core50_nc/tight/O11/1/quota_mid,G,core50_nc,O11,1,quota_mid,completed,effectiveness_v3_20260918T214903Z_6a27b720,1,effectiveness_v3_20260918T214903Z_6a27b720
G/core50_nc/tight/O11/2/quota_mid,G,core50_nc,O11,2,quota_mid,completed,effectiveness_v3_20260918T220535Z_5119b35b,1,effectiveness_v3_20260918T220535Z_5119b35b
C/core50_nc/dynamic/S0/0/default,C,core50_nc,S0,0,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/S_star_dynamic/0/default,C,core50_nc,S_star_dynamic,0,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/O11/0/default,C,core50_nc,O11,0,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/R11/0/default,C,core50_nc,R11,0,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/O11_half_life/0/default,C,core50_nc,O11_half_life,0,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/S_star_dynamic/1/default,C,core50_nc,S_star_dynamic,1,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/O11/1/default,C,core50_nc,O11,1,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/R11/1/default,C,core50_nc,R11,1,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/O11_half_life/1/default,C,core50_nc,O11_half_life,1,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/S0/1/default,C,core50_nc,S0,1,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/O11/2/default,C,core50_nc,O11,2,default,scenario_not_realized:dynamic_reservation,,0,
